Price	Brand	Screen Size	Screen Type	CPU Brand	CPU Type	CPU Gen	Ram	Capacity	Storage Type	GPU	OS	Weight
17490.0	acer	15	fhd	intel	7	8	4	1000	hdd	mx130	win10	2.2
12890.0	acer	15	fhd	intel	5	8	4	1000	hdd	uhd 620	free dos	2.2
27990.0	acer	14	fhd	intel	7	8	8	256	ssd	uhd 620	win10	1.0
44990.0	acer	15	fhd	intel	7	9	16	256	ssd	rtx 2060	win10	2.4
34990.0	acer	15	fhd	intel	7	9	8	512	ssd	gtx 1660 ti	win10	2.3
16990.0	acer	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	2.1
24790.0	acer	15	fhd	intel	7	8	8	1000	hdd	gtx 1050 ti	free dos	2.4
8999.0	acer	14	fhd	intel	1	4	4	64	emmc	uhd 600	win10	1.4
32990.0	acer	15	fhd	intel	7	8	8	256	ssd	uhd 620	win10	1.0
32990.0	acer	15	fhd	intel	7	8	8	256	ssd	uhd 620	win10	1.0
24990.0	acer	15	fhd	intel	7	8	8	256	ssd	gtx 1050	win10	2.2
14490.0	acer	14	fhd	intel	5	10	4	256	ssd	uhd 620	win10	1.6
49990.0	acer	15	fhd	intel	7	9	16	256	ssd	rtx 2060	win10	2.1
49990.0	acer	14	fhd	intel	7	8	16	512	ssd	uhd 615	win10	0.8
49990.0	acer	14	fhd	intel	7	8	16	512	ssd	uhd 615	win10	0.8
14990.0	acer	14	fhd	intel	3	10	4	512	ssd	uhd	win10	1.2
17990.0	acer	14	fhd	intel	5	10	4	512	ssd	uhd	win10	1.5
12590.0	asus	14	fhd	intel	3	8	4	256	ssd	uhd 620	win10	1.5
22990.0	asus	15	fhd	intel	5	9	8	512	ssd	gtx 1050	win10	2.4
11990.0	asus	14	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.5
6390.0	asus	14	hd	intel	1	4	4	1000	hdd	uhd 600	win10	1.5
21990.0	asus	15	fhd	amd	5	3	8	512	ssd	gtx 1050	win10	2.2
15990.0	asus	15	fhd	intel	5	8	8	1000	hdd	uhd 620	win10	1.7
12290.0	asus	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.7
21490.0	asus	15	fhd	intel	5	8	8	1000	hdd	gtx 1050	win10	2.2
15290.0	asus	15	fhd	amd	5	3	8	512	ssd	radeon vega 8	win10	1.6
13390.0	asus	14	hd	intel	5	8	4	1000	hdd	mx130	win10	1.6
20790.0	asus	15	fhd	intel	5	8	8	512	ssd	mx250	win10	1.7
21990.0	asus	15	fhd	intel	7	8	8	512	ssd	mx250	win10	1.7
22990.0	asus	14	fhd	intel	5	8	8	256	ssd	uhd 620	win10	1.2
13390.0	asus	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.5
17190.0	asus	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.8
22990.0	asus	13	fhd	intel	5	8	8	256	ssd	uhd 620	win10	1.2
18990.0	asus	14	fhd	intel	5	8	8	512	ssd	uhd 620	win10	1.4
15290.0	asus	15	fhd	amd	5	3	8	512	ssd	radeon vega 8	win10	1.6
22990.0	asus	13	fhd	intel	5	8	8	256	ssd	uhd 620	win10	1.2
13290.0	asus	15	fhd	intel	3	8	4	512	ssd	uhd 620	win10	1.7
14890.0	asus	15	fhd	intel	5	8	4	1000	hdd	mx230	win10	1.8
26490.0	asus	15	fhd	intel	7	9	8	512	ssd	gtx 1050	win10	2.4
14590.0	asus	15	fhd	intel	5	8	4	1000	hdd	mx130	win10	1.7
10390.0	asus	14	fhd	intel	3	7	4	1000	hdd	hd 620	win10	1.6
12990.0	asus	15	fhd	amd	5	2	4	1000	hdd	radeon vega 8	win10	1.7
22990.0	asus	14	fhd	intel	5	8	8	256	ssd	uhd 620	win10	1.2
13890.0	asus	14	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.4
16890.0	asus	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.4
13290.0	asus	15	fhd	intel	3	8	4	512	ssd	uhd 620	win10	1.7
15890.0	asus	15	fhd	intel	5	8	4	512	ssd	mx230	win10	1.7
12990.0	asus	14	fhd	intel	3	8	4	512	ssd	uhd 620	win10	1.5
12690.0	asus	14	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.8
39990.0	asus	15	fhd	intel	7	8	8	256	ssd	gtx 1060	win10	2.4
15990.0	asus	14	fhd	intel	5	8	8	1000	hdd	uhd 620	win10	1.5
28990.0	asus	15	fhd	intel	7	9	8	512	ssd	gtx 1650	win10	2.3
14990.0	asus	13	fhd	intel	3	8	4	256	ssd	uhd 620	win10	1.2
27490.0	asus	14	fhd	intel	7	8	8	512	ssd	uhd 620	win10	1.2
23490.0	asus	15	fhd	amd	7	3	8	512	ssd	gtx 1650	win10	2.2
19290.0	asus	15	fhd	intel	5	8	8	512	ssd	uhd 620	win10	1.7
9990.0	asus	14	hd	intel	3	7	4	1000	hdd	hd 620	win10	1.5
7490.0	asus	15	hd	intel	1	5	4	1000	hdd	uhd 605	win10	1.7
18990.0	asus	15	fhd	intel	5	8	8	512	ssd	mx250	win10	1.7
25490.0	asus	15	fhd	intel	5	9	8	512	ssd	gtx 1650	win10	2.4
18090.0	asus	15	fhd	intel	5	8	4	1000	hdd	mx150	win10	1.8
22990.0	asus	13	fhd	intel	5	8	8	256	ssd	uhd 620	win10	1.2
16890.0	asus	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.4
11490.0	asus	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.8
14790.0	asus	15	fhd	intel	3	8	4	256	ssd	uhd 620	win10	1.8
10390.0	asus	14	fhd	intel	3	7	4	1000	hdd	hd 620	win10	1.6
18490.0	asus	14	fhd	intel	5	8	8	512	ssd	mx230	win10	1.5
14190.0	asus	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.8
20990.0	asus	15	fhd	intel	7	8	8	1000	hdd	mx250	win10	1.7
13690.0	asus	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.8
16190.0	asus	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.8
16190.0	asus	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.8
13590.0	asus	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.9
12890.0	asus	15	fhd	intel	3	8	4	256	ssd	uhd 620	win10	1.7
12590.0	asus	14	fhd	intel	3	8	4	256	ssd	uhd 620	win10	1.6
18990.0	asus	14	fhd	intel	5	8	4	1000	hdd	mx150	win10	1.3
14990.0	asus	14	hd	intel	5	8	4	1000	hdd	uhd 620	win10	1.7
22090.0	asus	15	fhd	intel	7	8	8	1000	hdd	mx150	win10	1.7
21990.0	asus	17	fhd	amd	7	3	8	512	ssd	gtx 1050	win10	2.7
27490.0	asus	14	fhd	intel	7	8	8	512	ssd	uhd 620	win10	1.2
19590.0	asus	15	fhd	intel	5	8	4	512	ssd	mx150	win10	1.8
16490.0	asus	13	fhd	intel	3	8	8	512	ssd	uhd 620	win10	1.2
23490.0	asus	13	fhd	intel	5	8	8	512	ssd	uhd 620	win10	1.2
20490.0	asus	14	fhd	intel	7	8	8	1000	hdd	mx230	win10	1.5
54990.0	asus	15	fhd	intel	7	8	16	512	ssd	gtx 1060	win10	2.1
12990.0	asus	14	hd	intel	3	8	4	1000	hdd	uhd 620	win10	1.7
26990.0	asus	13	fhd	intel	5	8	8	512	ssd	uhd 620	win10	1.3
22990.0	asus	13	fhd	intel	5	8	8	512	ssd	uhd 620	win10	1.2
14490.0	asus	14	fhd	intel	3	8	4	256	ssd	uhd 620	win10	1.4
26990.0	asus	15	fhd	amd	7	3	8	512	ssd	gtx 1660 ti	win10	2.2
18990.0	asus	14	fhd	intel	5	8	8	512	ssd	uhd 620	win10	1.4
13390.0	asus	14	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.4
13890.0	asus	14	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.4
15190.0	asus	14	hd	intel	5	8	4	1000	hdd	mx150	win10	1.4
13290.0	asus	15	fhd	intel	3	8	4	512	ssd	uhd 620	win10	1.7
16490.0	asus	13	fhd	intel	3	8	8	512	ssd	uhd 620	win10	1.2
17490.0	asus	14	fhd	intel	5	8	8	1000	hdd	mx230	win10	1.5
24900.0	asus	14	fhd	intel	5	8	8	512	ssd	mx150	win10	1.2
22190.0	asus	15	fhd	intel	7	8	8	256	ssd	mx150	win10	1.7
22090.0	asus	15	fhd	intel	7	8	8	1000	hdd	mx150	win10	1.8
29990.0	asus	13	fhd	intel	7	8	16	512	ssd	uhd 620	win10	1.3
13890.0	asus	14	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.4
14590.0	asus	15	fhd	intel	5	8	4	512	ssd	uhd 620	win10	1.9
16490.0	asus	13	fhd	intel	3	8	8	512	ssd	uhd 620	win10	1.2
19090.0	asus	15	fhd	intel	7	8	4	512	ssd	mx230	win10	1.9
18690.0	asus	15	fhd	intel	5	8	4	256	ssd	mx150	win10	1.8
26490.0	asus	15	fhd	intel	5	8	8	256	ssd	gtx 1050	win10	1.7
18090.0	asus	15	fhd	intel	5	8	4	1000	hdd	mx150	win10	1.7
10990.0	asus	15	hd	intel	3	8	4	1000	hdd	uhd 620	win10	2.0
16690.0	asus	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.8
16690.0	asus	15	fhd	intel	7	8	4	1000	hdd	mx130	win10	1.7
13190.0	asus	14	hd	intel	5	8	4	1000	hdd	mx110	win10	1.5
10190.0	asus	15	fhd	intel	3	7	4	1000	hdd	hd 620	win10	1.7
12890.0	asus	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.7
26490.0	asus	13	fhd	intel	7	8	8	512	ssd	uhd 620	win10	1.2
26490.0	asus	15	fhd	intel	5	8	8	256	ssd	gtx 1050	win10	1.7
22990.0	asus	13	fhd	intel	5	8	8	512	ssd	uhd 620	win10	1.2
21490.0	asus	14	fhd	intel	5	8	8	512	ssd	uhd 620	win10	1.5
7990.0	asus	15	hd	intel	9	9	4	1000	hdd	radeon r5	win10	1.7
17290.0	asus	15	fhd	intel	5	8	8	512	ssd	uhd 620	win10	1.7
16990.0	asus	14	fhd	intel	5	8	8	512	ssd	uhd 620	win10	1.4
13190.0	asus	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.5
11890.0	asus	15	fhd	amd	3	3	4	256	ssd	radeon vega 3	win10	1.6
54990.0	asus	15	fhd	intel	7	9	16	512	ssd	rtx 2060	win10	2.0
19490.0	asus	13	fhd	intel	5	8	8	512	ssd	uhd 620	win10	1.2
16790.0	asus	15	fhd	intel	5	8	4	1000	hdd	mx150	win10	1.6
14490.0	asus	14	hd	intel	5	8	4	1000	hdd	mx130	win10	1.4
11890.0	asus	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.7
14190.0	asus	15	fhd	intel	5	8	4	1000	hdd	mx130	win10	1.7
9990.0	asus	14	hd	intel	3	7	4	1000	hdd	hd 620	win10	1.5
16390.0	asus	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.4
10890.0	asus	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.7
45490.0	asus	15	fhd	intel	7	8	16	1000	hdd	gtx 1060	win10	2.4
21590.0	asus	15	fhd	intel	7	8	8	1000	hdd	mx150	win10	1.8
11590.0	asus	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.7
24990.0	asus	13	fhd	intel	5	8	8	512	ssd	mx150	win10	1.2
6490.0	asus	15	hd	intel	1	4	4	1000	hdd	uhd 600	win10	1.7
28490.0	asus	15	fhd	intel	5	8	8	1000	hdd	gtx 1060	win10	2.2
13990.0	asus	14	hd	intel	5	8	4	500	hdd	uhd 620	endless	1.7
9990.0	asus	15	hd	intel	3	2	4	1000	hdd	radeon vega 3	win10	1.6
7490.0	asus	14	hd	intel	1	4	4	1000	hdd	hd 610	win10	1.6
17190.0	asus	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.8
31990.0	asus	15	fhd	amd	7	3	8	512	ssd	gtx 1660 ti	win10	2.1
51990.0	asus	15	fhd	intel	7	9	16	512	ssd	rtx 2060	win10	2.6
13590.0	asus	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.9
15990.0	asus	14	fhd	intel	5	8	4	256	ssd	uhd 620	win10	1.6
15690.0	asus	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.4
26990.0	asus	15	fhd	intel	5	7	8	1000	hdd	gtx 1060	win10	2.6
19490.0	asus	14	hd	intel	5	8	4	128	ssd	nvidia mx150 2gb	win10	1.4
17290.0	asus	14	fhd	intel	5	8	4	1000	hdd	mx130	win10	1.6
11390.0	asus	15	hd	intel	3	8	4	1000	hdd	uhd 620	win10	1.7
27290.0	asus	15	fhd	intel	7	8	8	1000	hdd	gtx 1050 ti	win10	2.3
13390.0	asus	14	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.4
18090.0	asus	15	fhd	intel	5	8	4	1000	hdd	mx150	win10	1.8
7190.0	asus	14	hd	intel	1	5	4	1000	hdd	uhd 605	win10	1.7
13690.0	asus	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.8
10890.0	asus	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.7
13690.0	asus	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.8
14990.0	asus	15	fhd	intel	5	8	4	1000	hdd	mx150	win10	1.7
13690.0	asus	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.8
7290.0	asus	14	hd	intel	1	5	4	1000	hdd	uhd 605	win10	1.7
12290.0	asus	14	fhd	intel	3	8	4	256	ssd	uhd 620	win10	1.4
24990.0	asus	13	fhd	intel	5	8	8	512	ssd	mx150	win10	1.2
18190.0	asus	15	fhd	intel	5	8	8	1000	hdd	gtx 1050	win10	2.0
18490.0	asus	15	fhd	intel	7	8	4	256	ssd	mx150	win10	1.7
9990.0	asus	15	fhd	amd	2	2	4	1000	hdd	radeon vega 3	win10	1.7
14790.0	asus	15	fhd	intel	3	8	4	256	ssd	uhd 620	win10	1.8
23490.0	asus	17	fhd	amd	7	3	8	512	ssd	gtx 1650	win10	2.7
17890.0	asus	14	fhd	intel	5	8	4	512	ssd	uhd 620	win10	1.4
10790.0	asus	15	fhd	intel	3	7	4	256	ssd	hd 620	win10	1.7
15090.0	asus	15	fhd	intel	5	8	4	1000	hdd	mx230	win10	1.8
18990.0	asus	14	fhd	intel	5	8	8	512	ssd	uhd 620	win10	1.4
22490.0	asus	15	fhd	intel	5	8	8	1000	hdd	gtx 1050 ti	win10	2.2
17990.0	asus	15	fhd	intel	7	8	4	1000	hdd	mx130	win10	1.7
30490.0	asus	17	fhd	intel	7	9	8	512	ssd	gtx 1650	win10	2.9
42990.0	asus	15	fhd	intel	7	9	16	512	ssd	gtx 1660 ti	win10	2.0
12990.0	asus	14	fhd	intel	3	8	4	512	ssd	uhd 620	win10	1.5
6490.0	asus	15	hd	intel	1	3	4	1000	hdd	hd 500	win10	2.0
61990.0	asus	15	fhd	intel	7	8	16	512	ssd	rtx 2070	win10	2.1
54990.0	asus	15	fhd	intel	7	8	16	512	ssd	rtx 2060	win10	2.1
18190.0	dell	15	fhd	intel	5	8	4	1000	hdd	mx130	win10	1.95
15190.0	dell	14	hd	intel	5	8	4	1000	hdd	radeon 520	win10	1.8
12390.0	dell	14	hd	intel	3	8	4	1000	hdd	uhd 620	win10	1.7
14490.0	dell	14	hd	intel	5	8	4	1000	hdd	uhd 620	win10	1.8
16290.0	dell	15	fhd	intel	5	8	4	1000	hdd	radeon 520	win10	2.3
15290.0	dell	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	2.1
14490.0	dell	14	hd	intel	5	8	4	1000	hdd	uhd 620	win10	1.7
15190.0	dell	15	hd	intel	5	8	4	1000	hdd	uhd 620	win10	2.3
22390.0	dell	15	fhd	intel	7	8	8	256	ssd	radeon 520	win10	2.1
29990.0	dell	15	fhd	intel	7	9	8	256	ssd	gtx 1050	win10	1.8
9890.0	dell	15	fhd	intel	3	7	4	1000	hdd	hd 620	free dos	2.3
16190.0	dell	14	hd	intel	5	8	8	1000	hdd	uhd 620	win10	1.8
18990.0	dell	15	fhd	intel	5	8	8	1000	hdd	uhd 620	win10	2.0
11780.0	dell	14	hd	intel	3	7	4	1000	hdd	hd 620	win10	1.7
15090.0	dell	14	hd	intel	5	10	4	1000	hdd	uhd	win10	1.7
20490.0	dell	14	fhd	intel	5	8	4	1000	hdd	mx130	win10	1.6
16390.0	dell	15	fhd	intel	5	10	4	1000	hdd	mx230	win10	2.2
13490.0	dell	15	hd	intel	5	8	4	1000	hdd	uhd 620	free dos	2.2
19390.0	dell	15	fhd	intel	5	10	8	512	ssd	uhd	win10	1.8
17990.0	dell	15	fhd	intel	5	10	4	128	ssd	mx230	win10	1.8
21890.0	dell	15	fhd	intel	5	8	8	256	ssd	mx130	win10	1.95
15690.0	dell	15	fhd	intel	5	8	4	1000	hdd	radeon 520	win10	2.3
23990.0	dell	13	fhd	intel	7	8	8	1000	hdd	uhd 620	win10	1.7
17490.0	dell	15	fhd	intel	5	8	4	1000	hdd	radeon 530	free dos	2.2
34990.0	dell	15	fhd	intel	7	9	8	256	ssd	gtx 1650	win10	2.7
14490.0	dell	14	hd	intel	5	8	4	1000	hdd	uhd 620	win10	1.7
18490.0	dell	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.6
44990.0	dell	15	fhd	intel	7	9	16	512	ssd	rtx 2060	win10	2.7
13290.0	dell	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	2.1
11990.0	dell	14	hd	intel	3	8	4	1000	hdd	uhd 620	win10	2.0
16390.0	dell	15	fhd	intel	5	10	4	1000	hdd	mx230	win10	2.2
11790.0	dell	14	hd	intel	3	7	4	1000	hdd	hd 620	win10	1.7
21990.0	dell	15	fhd	intel	7	8	8	2000	hdd	radeon 520	win10	2.3
14490.0	dell	14	hd	intel	5	8	4	1000	hdd	radeon r5 520	free dos	2.3
10489.6	dell	14	hd	intel	3	7	4	1000	hdd	hd 620	free dos	2.0
23990.0	dell	14	fhd	intel	5	8	8	256	ssd	uhd 620	win10	1.6
22990.0	dell	15	fhd	intel	7	10	8	512	ssd	mx230	win10	2.2
20990.0	dell	15	fhd	intel	7	8	8	1000	hdd	radeon r5 520	win10	2.3
10490.0	dell	15	hd	intel	3	7	4	1000	hdd	hd 620	free dos	2.2
18000.0	dell	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.9
21690.0	dell	15	fhd	intel	5	8	8	2000	hdd	mx130	win10	1.95
15390.0	dell	14	hd	intel	5	8	4	1000	hdd	radeon r5 520	free dos	2.0
17190.0	dell	15	fhd	intel	5	8	4	1000	hdd	radeon 520	win10	2.3
23990.0	dell	15	fhd	intel	5	7	4	1000	hdd	gtx 1050	win10	2.7
10990.0	dell	14	hd	intel	3	8	4	1000	hdd	uhd 620	free dos	2.0
19290.0	dell	15	fhd	intel	5	8	4	1000	hdd	mx130	win10	1.9
24990.0	dell	15	fhd	intel	7	8	8	1000	hdd	radeon 530	win10	2.1
33390.0	dell	15	fhd	intel	7	8	8	1000	hdd	gtx 1050 ti	win10	2.7
10490.0	dell	14	hd	intel	3	7	4	1000	hdd	hd 620	free dos	1.9
17890.0	dell	15	fhd	intel	5	8	4	1000	hdd	radeon 530	win10	2.0
25990.0	dell	15	fhd	intel	5	8	8	1000	hdd	gtx 1050 ti	free dos	2.8
27990.0	dell	14	fhd	intel	7	8	8	256	ssd	mx130	win10	2.0
24590.0	dell	14	fhd	intel	7	8	8	1000	hdd	radeon 530	win10	1.7
18000.0	dell	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.9
10490.0	dell	15	hd	intel	3	8	4	1000	hdd	uhd 620	free dos	2.3
21990.0	dell	15	fhd	intel	7	8	8	2000	hdd	radeon 520	win10	2.3
22990.0	dell	15	fhd	intel	7	10	8	512	ssd	mx230	win10	2.2
15990.0	dell	15	fhd	intel	5	8	4	1000	hdd	radeon r5 520	free dos	2.3
14790.0	dell	15	fhd	intel	5	8	4	1000	hdd	radeon 520	free dos	2.1
14590.0	dell	15	hd	intel	5	8	4	1000	hdd	uhd 620	win10	2.2
18990.0	dell	15	fhd	intel	7	8	8	1000	hdd	radeon r5 520	free dos	2.3
25690.0	dell	14	fhd	intel	7	8	8	1000	hdd	radeon 530	win10	1.7
24490.0	dell	14	fhd	intel	5	8	8	256	ssd	mx150	win10	1.6
22990.0	dell	15	fhd	intel	7	8	8	256	ssd	radeon 530	free dos	2.1
18490.0	dell	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.6
26990.0	dell	15	fhd	intel	7	8	8	256	ssd	mx130	win10	1.6
18790.0	dell	15	fhd	intel	7	8	8	1000	hdd	radeon 520	free dos	2.2
14490.0	dell	14	hd	intel	5	8	4	1000	hdd	uhd 620	win10	1.8
15690.0	dell	15	fhd	intel	5	8	4	1000	hdd	radeon 520	win10	2.3
15490.0	hp	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.6
13090.0	hp	14	fhd	intel	3	8	4	500	hdd	uhd 620	win10	1.4
13290.0	hp	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.8
13390.0	hp	14	hd	intel	3	8	4	500	hdd	uhd 620	free dos	1.6
26890.0	hp	13	fhd	amd	7	3	8	256	ssd	radeon vega 10	win10	1.3
22490.0	hp	13	fhd	intel	5	8	8	256	ssd	uhd 620	win10	1.2
15490.0	hp	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.6
17290.0	hp	14	fhd	intel	5	8	4	256	ssd	uhd 620	free dos	1.6
