Price	Brand	Screen Size	Screen Type	CPU Brand	CPU Type	CPU Gen	Ram	Capacity	Storage Type	GPU	OS	Weight
27990.0	acer	14	fhd	intel	7	8	8	256	ssd	uhd 620	win10	1.0
26490.0	acer	13	fhd	intel	5	8	8	256	ssd	uhd 620	win10	1.4
24990.0	acer	14	fhd	intel	7	8	8	512	ssd	mx250	win10	1.5
12990.0	acer	15	fhd	intel	5	10	4	256	ssd	uhd	win10	1.7
28990.0	acer	15	fhd	intel	7	9	8	1000	hdd	gtx 1650	win10	2.3
24040.0	acer	15	fhd	intel	5	8	8	1000	hdd	gtx 1050 ti	free dos	2.4
16990.0	acer	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	2.1
9990.0	acer	15	fhd	amd	3	3	4	256	ssd	radeon vega 3	win10	1.7
13990.0	acer	15	fhd	amd	5	3	8	512	ssd	radeon vega 8	win10	1.7
11990.0	acer	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.7
