Keyword	Mark
['geforce', 'fx', '5600xt']	9
['geforce', 'fx', '5700']	40
['geforce', 'fx', '5700', 'ultra']	34
['geforce', 'fx', '5700le']	24
['geforce', 'fx', '5700ve']	33
['geforce', 'fx', '5900']	34
['geforce', 'fx', '5900', 'ultra']	41
['geforce', 'fx', '5900xt']	40
['geforce', 'fx', '5950', 'ultra']	59
['geforce', 'fx', 'go', '5200']	8
['geforce', 'fx', 'go', '5600']	17
['geforce', 'fx', 'go5300']	12
['geforce', 'fx', 'go5650']	16
['geforce', 'fx', 'go5700']	51
['geforce', 'g', '103m']	105
['geforce', 'g', '105m']	112
['geforce', 'g100']	99
['geforce', 'g102m']	93
['geforce', 'g105m']	179
['geforce', 'g200']	131
['geforce', 'g205m']	91
['geforce', 'g210']	168
['geforce', 'g210m']	198
['geforce', 'go', '6100']	17
['geforce', 'go', '6150']	17
['geforce', 'go', '6200']	15
['geforce', 'go', '6400']	24
['geforce', 'go', '6600']	69
['geforce', 'go', '6600', 'te/6200', 'te']	44
['geforce', 'go', '6800']	106
['geforce', 'go', '6800', 'ultra']	137
['geforce', 'go', '7200']	45
['geforce', 'go', '7300']	50
['geforce', 'go', '7400']	62
['geforce', 'go', '7600']	127
['geforce', 'go', '7600', 'gt']	165
['geforce', 'go', '7700']	147
['geforce', 'go', '7800']	114
['geforce', 'go', '7800', 'gtx']	209
['geforce', 'go', '7900', 'gs']	176
['geforce', 'go', '7900', 'gtx']	270
['geforce', 'go', '7950', 'gtx']	263
['geforce', 'gpu']	1153
['geforce', 'gt', '1030']	2292
['geforce', 'gt', '120']	286
['geforce', 'gt', '120m']	267
['geforce', 'gt', '130']	456
['geforce', 'gt', '130m']	297
['geforce', 'gt', '140']	747
['geforce', 'gt', '220']	349
['geforce', 'gt', '220m']	257
['geforce', 'gt', '230']	472
['geforce', 'gt', '230m']	332
['geforce', 'gt', '240']	648
['geforce', 'gt', '240m']	350
['geforce', 'gt', '320']	552
['geforce', 'gt', '320m']	205
['geforce', 'gt', '325m']	290
['geforce', 'gt', '330']	555
['geforce', 'gt', '330m']	361
['geforce', 'gt', '335m']	502
['geforce', 'gt', '340']	774
['geforce', 'gt', '415m']	318
['geforce', 'gt', '420']	477
['geforce', 'gt', '420m']	543
['geforce', 'gt', '425m']	626
['geforce', 'gt', '430']	661
['geforce', 'gt', '435m']	667
['geforce', 'gt', '440']	841
['geforce', 'gt', '445m']	1054
['geforce', 'gt', '520']	365
['geforce', 'gt', '520m']	385
['geforce', 'gt', '520mx']	407
['geforce', 'gt', '525m']	600
['geforce', 'gt', '530']	744
['geforce', 'gt', '540m']	649
['geforce', 'gt', '545']	1291
['geforce', 'gt', '550m']	719
['geforce', 'gt', '555m']	891
['geforce', 'gt', '610']	350
['geforce', 'gt', '620']	430
['geforce', 'gt', '620m']	574
['geforce', 'gt', '625']	438
['geforce', 'gt', '625m']	500
['geforce', 'gt', '630']	746
['geforce', 'gt', '630m']	690
['geforce', 'gt', '635']	913
['geforce', 'gt', '635m']	699
['geforce', 'gt', '640']	1281
['geforce', 'gt', '640m']	967
['geforce', 'gt', '640m', 'le']	789
['geforce', 'gt', '645']	2250
['geforce', 'gt', '645m']	909
['geforce', 'gt', '650m']	1234
['geforce', 'gt', '705']	419
['geforce', 'gt', '710']	686
['geforce', 'gt', '710m']	555
['geforce', 'gt', '720']	716
['geforce', 'gt', '720a']	660
['geforce', 'gt', '720m']	563
['geforce', 'gt', '730']	923
['geforce', 'gt', '730a']	742
['geforce', 'gt', '730m']	842
['geforce', 'gt', '735m']	676
['geforce', 'gt', '740']	1567
['geforce', 'gt', '740m']	789
['geforce', 'gt', '745a']	1179
['geforce', 'gt', '745m']	979
['geforce', 'gt', '750m']	1298
['geforce', 'gt', '755m']	1601
['geforce', 'gt', '820m']	705
['geforce', 'gt625m']	531
['geforce', 'gts', '160m']	678
['geforce', 'gts', '240']	817
