Keyword	Mark
['radeon', 'hd8970m']	3368
['radeon', 'igp', '320m']	3
['radeon', 'igp', '340m']	2
['radeon', 'igp', '345m']	2
['radeon', 'igp', '350m']	6
['radeon', 'infoshock', '3000']	106
['radeon', 'pro', '450']	2722
['radeon', 'pro', '455']	3112
['radeon', 'pro', '460']	3452
['radeon', 'pro', '5500m']	6713
['radeon', 'pro', '555']	3140
['radeon', 'pro', '560']	3475
['radeon', 'pro', '570']	6336
['radeon', 'pro', '580']	7753
['radeon', 'pro', 'duo']	9436
['radeon', 'pro', 'ssg']	10497
['radeon', 'pro', 'vega', '20']	6375
['radeon', 'pro', 'vega', '48']	11795
['radeon', 'pro', 'vega', '56']	11915
['radeon', 'pro', 'vega', '64']	11455
['radeon', 'pro', 'wx', '2100']	2227
['radeon', 'pro', 'wx', '3100']	3310
['radeon', 'pro', 'wx', '4100']	4062
['radeon', 'pro', 'wx', '4130']	2984
['radeon', 'pro', 'wx', '4150']	3208
['radeon', 'pro', 'wx', '5100']	5665
['radeon', 'pro', 'wx', '7100']	7857
['radeon', 'pro', 'wx', '8200']	11403
['radeon', 'pro', 'wx', '9100']	10734
['radeon', 'pro', 'wx3200']	1740
['radeon', 'pro', 'wx4100']	3953
['radeon', 'r1e']	301
['radeon', 'r2']	301
['radeon', 'r2e']	242
['radeon', 'r3']	369
['radeon', 'r3e']	256
['radeon', 'r4']	397
['radeon', 'r5', '220']	233
['radeon', 'r5', '230']	247
['radeon', 'r5', '235']	368
['radeon', 'r5', '235', '+', 'hd', '7560d', 'dual']	743
['radeon', 'r5', '235x']	367
['radeon', 'r5', '240']	649
['radeon', 'r5', '310']	337
['radeon', 'r5', '330']	570
['radeon', 'r5', '340']	1054
['radeon', 'r5', '420']	757
['radeon', 'r5', '430']	1028
['radeon', 'r5', 'a10-9600p', '4c+6g']	807
['radeon', 'r5', 'a10-9620p', '4c+6g']	804
['radeon', 'r5', 'a10-9630p', '4c+6g']	1436
['radeon', 'r5', 'a6-7480']	629
['radeon', 'r5', 'a6-9500', '2c+6g']	1021
['radeon', 'r5', 'm230']	567
['radeon', 'r5', 'm240']	556
['radeon', 'r5', 'm255']	763
['radeon', 'r5', 'm315']	609
['radeon', 'r5', 'm320']	555
['radeon', 'r5', 'm330']	595
['radeon', 'r5', 'm335']	548
['radeon', 'r5', 'm420']	555
['radeon', 'r5', 'm430']	648
['radeon', 'r5', 'm435']	602
['radeon', 'r5', 'opteron', 'x3216']	436
['radeon', 'r5', 'pro', 'a10-8730b', '4c+6g']	822
['radeon', 'r5', 'pro', 'a6-8530b', '2c+4g']	689
['radeon', 'r5', 'pro', 'a6-8570', '2c+6g']	1079
['radeon', 'r5', 'pro', 'a6-8570e', '2c+4g']	839
['radeon', 'r5', 'pro', 'a6-9500', '2c+6g']	906
['radeon', 'r5', 'pro', 'a6-9500b', '2c+4g']	693
['radeon', 'r5', 'pro', 'a6-9500e', '2c+4g']	877
['radeon', 'r5', 'pro', 'a8-9600b', '4c+6g']	845
['radeon', 'r5e']	338
['radeon', 'r6']	643
['radeon', 'r6', '+', 'r7', 'm265dx', 'dual']	570
['radeon', 'r6', 'a10-8700p']	680
['radeon', 'r6', 'a8-8600p']	560
['radeon', 'r6', 'm255dx']	597
['radeon', 'r6', 'pro', 'a10-8700b', '4c+6g']	572
['radeon', 'r6', 'pro', 'a8-8600b', '4c+6g']	593
['radeon', 'r7', '+', 'hd', '7700', 'dual']	1962
['radeon', 'r7', '+', 'r5', '330', 'dual']	1028
['radeon', 'r7', '+', 'r5', '435', 'dual', 'a10-9700', 'radeon']	885
['radeon', 'r7', '+', 'r7', '200', 'dual']	1279
['radeon', 'r7', '+', 'r7', '240', 'dual']	1045
['radeon', 'r7', '+', 'r7', '350', 'dual']	1982
['radeon', 'r7', '240']	976
['radeon', 'r7', '240', '+', 'hd', '8570d', 'dual']	917
['radeon', 'r7', '240', '+', 'hd', '8670d', 'dual']	930
['radeon', 'r7', '250']	1403
['radeon', 'r7', '250x']	2268
['radeon', 'r7', '260']	2891
['radeon', 'r7', '260x']	3179
['radeon', 'r7', '340']	1047
['radeon', 'r7', '360']	3315
['radeon', 'r7', '370']	4644
['radeon', 'r7', '430']	1419
['radeon', 'r7', '450']	2204
['radeon', 'r7', 'a10', 'extreme', 'edition']	790
['radeon', 'r7', 'a10', 'pro-7800b']	756
['radeon', 'r7', 'a10', 'pro-7850b']	962
['radeon', 'r7', 'a10-7700k']	896
['radeon', 'r7', 'a10-7800']	888
['radeon', 'r7', 'a10-7850k']	1020
['radeon', 'r7', 'a10-7860k']	975
['radeon', 'r7', 'a10-7870k']	1123
['radeon', 'r7', 'a10-7890k']	1154
['radeon', 'r7', 'a10-8750']	990
['radeon', 'r7', 'a10-8850']	1114
['radeon', 'r7', 'a10-9700', 'radeon']	1159
['radeon', 'r7', 'a10-9700e', 'radeon']	1105
['radeon', 'r7', 'a12-9700p', 'radeon']	750
['radeon', 'r7', 'a12-9720p', 'radeon']	930
['radeon', 'r7', 'a12-9730p', 'radeon']	861
['radeon', 'r7', 'a12-9800', 'radeon']	1244
['radeon', 'r7', 'a12-9800e', 'radeon']	1142
['radeon', 'r7', 'a265']	987
['radeon', 'r7', 'a370']	1281
['radeon', 'r7', 'a8', 'pro-7600b']	738
['radeon', 'r7', 'a8-7500']	1027
['radeon', 'r7', 'a8-7500', '4c+6g']	853
['radeon', 'r7', 'a8-7600']	923
['radeon', 'r7', 'a8-7650k']	862
['radeon', 'r7', 'a8-7670k']	864
['radeon', 'r7', 'a8-7680']	955
['radeon', 'r7', 'a8-8650']	910
['radeon', 'r7', 'a8-9600', 'radeon']	1084
['radeon', 'r7', 'fx-8800p']	1026
['radeon', 'r7', 'fx-9800p', 'radeon']	836
['radeon', 'r7', 'fx-9830p', 'radeon']	1795
['radeon', 'r7', 'm260']	666
['radeon', 'r7', 'm260dx']	689
['radeon', 'r7', 'm260x']	1115
['radeon', 'r7', 'm265']	825
['radeon', 'r7', 'm270']	774
['radeon', 'r7', 'm340']	773
['radeon', 'r7', 'm350']	1260
['radeon', 'r7', 'm360']	732
['radeon', 'r7', 'm365x']	905
['radeon', 'r7', 'm370']	1417
['radeon', 'r7', 'm440']	955
['radeon', 'r7', 'm445']	1082
['radeon', 'r7', 'm460']	1153
['radeon', 'r7', 'm465']	1306
['radeon', 'r7', 'm465x']	2057
['radeon', 'r7', 'opteron', 'x3421']	1050
['radeon', 'r7', 'pro', 'a10-8750b']	954
['radeon', 'r7', 'pro', 'a10-8770']	1319
['radeon', 'r7', 'pro', 'a10-8770e']	1147
['radeon', 'r7', 'pro', 'a10-8850b']	945
['radeon', 'r7', 'pro', 'a10-9700']	1281
['radeon', 'r7', 'pro', 'a10-9700b']	1066
['radeon', 'r7', 'pro', 'a10-9700e']	1142
['radeon', 'r7', 'pro', 'a12-8800b']	743
['radeon', 'r7', 'pro', 'a12-8830b']	900
['radeon', 'r7', 'pro', 'a12-8870']	1375
['radeon', 'r7', 'pro', 'a12-8870e']	1160
['radeon', 'r7', 'pro', 'a12-9800']	1335
['radeon', 'r7', 'pro', 'a12-9800b']	823
['radeon', 'r7', 'pro', 'a12-9800e']	1014
['radeon', 'r7', 'pro', 'a6-9500', '2c+6g']	781
['radeon', 'r7', 'pro', 'a8-8650b']	832
['radeon', 'r7', 'pro', 'a8-9600']	1049
['radeon', 'r8', 'm365dx']	740
['radeon', 'r8', 'm445dx']	818
['radeon', 'r8', 'm535dx']	724
['radeon', 'r9', '255']	1806
['radeon', 'r9', '260']	3018
['radeon', 'r9', '270', '/', 'r7', '370']	4260
['radeon', 'r9', '270x']	4696
['radeon', 'r9', '280']	5380
['radeon', 'r9', '280x']	5853
['radeon', 'r9', '285', '/', '380']	5550
['radeon', 'r9', '290', '/', '390']	7151
['radeon', 'r9', '290x', '/', '390x']	7452
['radeon', 'r9', '295x2']	7773
['radeon', 'r9', '350']	2235
['radeon', 'r9', '360']	3031
['radeon', 'r9', '370']	4722
['radeon', 'r9', '380']	6159
['radeon', 'r9', '380x']	6235
['radeon', 'r9', '390']	8104
['radeon', 'r9', '390x']	8497
['radeon', 'r9', 'fury']	9189
['radeon', 'r9', 'fury', '+', 'fury', 'x']	8482
['radeon', 'r9', 'm265x']	1301
['radeon', 'r9', 'm270x']	1444
['radeon', 'r9', 'm275']	1114
['radeon', 'r9', 'm275x', '/', 'm375']	1528
['radeon', 'r9', 'm290x']	4092
['radeon', 'r9', 'm295x']	5150
['radeon', 'r9', 'm360']	2070
['radeon', 'r9', 'm370x']	1942
['radeon', 'r9', 'm375']	1239
['radeon', 'r9', 'm375x']	2121
['radeon', 'r9', 'm380']	3101
['radeon', 'r9', 'm385x']	885
['radeon', 'r9', 'm390x']	4356
['radeon', 'r9', 'm395']	5022
['radeon', 'r9', 'm395x']	5782
['radeon', 'r9', 'm470']	2435
['radeon', 'r9', 'm470x']	3563
['radeon', 'rx', '460']	4333
['radeon', 'rx', '470']	7763
['radeon', 'rx', '480']	8147
['radeon', 'rx', '540']	2339
['radeon', 'rx', '550']	3431
['radeon', 'rx', '5500']	6202
['radeon', 'rx', '550x']	2025
['radeon', 'rx', '560']	4307
['radeon', 'rx', '560x']	3454
['radeon', 'rx', '570']	6895
['radeon', 'rx', '5700']	12254
['radeon', 'rx', '5700', 'xt']	13827
['radeon', 'rx', '5700', 'xt', '50th', 'anniversary']	14124
['radeon', 'rx', '580']	8554
['radeon', 'rx', '580', '2048sp']	8652
['radeon', 'rx', '590']	9449
['radeon', 'rx', 'vega', '10']	1736
['radeon', 'rx', 'vega', '11']	2272
['radeon', 'rx', 'vega', '56']	12034
['radeon', 'rx', 'vega', '64']	12150
['radeon', 'rx', 'vega', '8']	1737
['radeon', 'rx', 'vega', 'm', 'gh']	7045
['radeon', 'rx', 'vega', 'm', 'gl']	5257
['radeon', 'rx', 'vega11']	1723
['radeon', 'sky', '500']	4889
['radeon', 'tm', 'r9', 'a360']	2148
['radeon', 'vega', '10']	1799
['radeon', 'vega', '10', 'mobile']	1667
['radeon', 'vega', '11']	1982
['radeon', 'vega', '3']	1071
['radeon', 'vega', '3', 'mobile']	1095
['radeon', 'vega', '6']	1546
['radeon', 'vega', '8']	1743
['radeon', 'vega', '8', 'mobile']	1634
['radeon', 'vega', '9']	1821
['radeon', 'vega', 'frontier', 'edition']	11217
['radeon', 'vii']	14129
['radeon', 'x1050']	49
['radeon', 'x1200']	32
['radeon', 'x1250']	37
['radeon', 'x1270']	31
['radeon', 'x1300']	58
['radeon', 'x1300', 'pro']	84
['radeon', 'x1550']	66
['radeon', 'x1550', '64-bit']	47
['radeon', 'x1600']	49
['radeon', 'x1600', 'pro']	98
['radeon', 'x1600', 'pro', '/', 'x1300xt']	69
['radeon', 'x1600', 'xt']	115
['radeon', 'x1650', 'gto']	74
['radeon', 'x1650', 'pro']	84
['radeon', 'x1650', 'se']	71
['radeon', 'x1700', 'targa', 'edition']	116
['radeon', 'x1800', 'gto']	140
['radeon', 'x1900', 'crossfire', 'edition']	137
['radeon', 'x1900', 'gt']	145
['radeon', 'x1950', 'crossfire', 'edition']	151
['radeon', 'x1950', 'gt']	106
['radeon', 'x1950', 'pro']	113
['radeon', 'x300se']	38
['radeon', 'x550']	50
['radeon', 'x550xt']	56
['radeon', 'x550xtx']	70
['radeon', 'x600', '256mb', 'hypermemory']	56
['radeon', 'x600xt']	91
['radeon', 'x700']	72
['radeon', 'x700', 'pro']	75
['radeon', 'x700', 'se']	71
['radeon', 'x800', 'gt']	84
['radeon', 'x800', 'gto']	76
['radeon', 'x800', 'pro']	64
['radeon', 'x800', 'pro/gto']	73
['radeon', 'x800', 'xl']	69
['radeon', 'x800', 'xt']	97
['radeon', 'x800gt']	79
['radeon', 'x850', 'pro']	72
['radeon', 'x850', 'xt']	81
['radeon', 'x850', 'xt', 'platinum', 'edition']	81
['radeon', 'xpress', '1100']	34
['radeon', 'xpress', '1150']	29
['radeon', 'xpress', '1200']	35
['radeon', 'xpress', '1250']	42
['radeon', 'xpress', '1270']	26
['radeon', 'xpress', '200']	29
['radeon', 'xpress', '200m']	22
['radeont', 'r5', '430']	1123
['radeont', 'r7', '450']	2184
['radeont', 'rx', '5500m']	7299
['rage', '128', 'pro', 'agp', '4x', 'tmds']	1
['rage', 'fury', 'pro/xpert', '2000', 'pro']	3
['red', 'hat', 'qxl', 'controller']	31
['rgh', 'drivers', 'v3']	11
['riva', 'tnt2', 'model', '64/model', '64', 'pro']	3
['riva', 'tnt2/tnt2', 'pro']	3
['rv530', 'pro']	118
['ryzen', '5', '2500u', 'with', 'radeon', 'vega']	1503
['ryzen', '7', '2700u', 'with', 'radeon', 'vega']	1617
['s3', 'chrome', '430', 'ulp']	39
['s3', 'chrome', 's25', 'ddr2']	18
['s3', 'prosavageddr']	1
['sapphire', 'radeon', '9600', 'atlantis']	47
['sapphire', 'radeon', 'x1550']	61
['sapphire', 'radeon', 'x800', 'gt']	112
['sumo', '9640']	650
['sumo', '964a']	497
['tesla', 'c2050']	3515
['tesla', 'c2050', '/', 'c2070']	3428
['tesla', 'c2070']	3274
['tesla', 'c2075']	3364
['tesla', 'm60']	7191
['tesla', 'p100-pcie-16gb']	7225
['titan', 'rtx']	16353
['titan', 'v']	14530
['titan', 'v', 'ceo', 'edition']	16987
['titan', 'xp', 'collectors', 'edition']	15127
['trinity', 'devastator', 'mobile']	699
['trinity', 'scrapper', 'mobile']	498
['vanta/vanta', 'lt']	3
['via', 'chrome9', 'hc', 'igp']	4
['via', 'chrome9', 'hc', 'igp', 'family']	3
['via', 'chrome9', 'hc', 'igp', 'family', 'wddm']	3
['via', 'chrome9', 'hc', 'igp', 'prerelease', 'wddm', '1.1']	2
['via', 'chrome9', 'hc', 'igp', 'wddm']	2
['via', 'chrome9', 'hc', 'igp', 'wddm', '1.1']	2
['via', 'chrome9', 'hcm', 'igp']	1
['via', 'chrome9', 'hd', 'igp']	10
['via/s3g', 'chrome', '645/640', 'gpu']	109
['via/s3g', 'deltachrome', 'igp']	3
['via/s3g', 'km400/kn400']	4
['via/s3g', 'unichrome', 'igp']	4
['via/s3g', 'unichrome', 'pro', 'igp']	4
['via/s3g', 'unichromeii']	5
['wine', 'display', 'adapter']	261
['xabre']	5
['xfx', 'radeon', 'hd', '4650', 'agp']	109
