Name	Price	Brand	Screen Size	Screen Type	CPU Brand	CPU Type	CPU Gen	Ram	Capacity	Storage Type	GPU	OS	Weight
Pavilion Gaming 15-dk0233TX (8DS86PA)	28990.0	hp	15	fhd	intel	7	9	8	512	ssd	gtx 1650	win10	2.2
Pavilion 14-ce2039TU	15490.0	hp	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.6
ENVY 13-aq0025TU (6ZF33PA)	21490.0	hp	13	fhd	intel	5	8	8	128	ssd	uhd 620	win10	1.3
15s-du0062TU (6ZF73PA)	14690.0	hp	15	hd	intel	5	8	4	1000	hdd	uhd 620	win10	1.7
ProBook 430 G6 (6JG02PA)	16790.0	hp	13	hd	intel	5	8	4	1000	hdd	uhd 620	free dos	1.5
ProBook 440 G6 (5YM64PA)	16390.0	hp	14	hd	intel	5	8	4	500	hdd	uhd 620	free dos	1.6
Pavilion X360 14-cd1018TU (5HV88PA)	13490.0	hp	14	hd	intel	3	8	4	1000	hdd	uhd 620	win10	1.6
Pavilion 15-cs2000TU (6KX21PA)	13290.0	hp	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.8
Pavilion Gaming 15-dk0231TX (8DS89PA)	23790.0	hp	15	fhd	intel	5	9	8	1000	hdd	gtx 1650	win10	2.2
Pavilion 14-ce1014TU (5JN05PA)	13090.0	hp	14	fhd	intel	3	8	4	500	hdd	uhd 620	win10	1.6
ProBook 440 G6 (6FG86PA)	22990.0	hp	14	fhd	intel	7	8	8	256	ssd	uhd 620	free dos	1.6
Pavilion Gaming 15-dk0000TX (7HR10PA)	25190.0	hp	15	fhd	intel	5	9	8	256	ssd	gtx 1650	win10	2.2
15-da1031TX (5NK55PA)	15390.0	hp	15	hd	intel	5	8	4	1000	hdd	mx110	win10	1.8
ProBook 450 G6 (6FG83PA)	24690.0	hp	15	fhd	intel	7	8	8	256	ssd	mx250	free dos	1.9
ProBook 430 G6 (5YM98PA)	17290.0	hp	13	hd	intel	5	8	4	1000	hdd	uhd 620	win10	1.5
Pavilion X360 11-ad104TU (4MF13PA)	12990.0	hp	11	hd	intel	3	8	4	500	hdd	uhd 620	win10	1.4
ProBook 430 G6 (6FG88PA)	22990.0	hp	13	fhd	intel	7	8	8	256	ssd	uhd 620	free dos	1.4
Pavilion 15-au109TU (Y4G14PA)	11490.0	hp	15	hd	intel	3	7	4	500	hdd	hd 620	win10	2.0
ProBook 440 G5 (2ZD34PA)	12590.0	hp	14	hd	intel	3	7	4	500	hdd	hd 620	free dos	1.6
ENVY 13-ah1010TU (5HY94PA)	21490.0	hp	13	fhd	intel	5	8	8	128	ssd	uhd 620	win10	1.3
ProBook 430 G6-5YM96PA	13590.0	hp	13	hd	intel	3	8	4	500	hdd	uhd 620	free dos	1.4
15-da0051TU (4ME64PA)	9990.0	hp	15	hd	intel	3	7	4	500	hdd	hd 620	win10	1.8
ProBook 440 G5 (4SS39PA)	12990.0	hp	14	hd	intel	3	8	4	500	hdd	uhd 620	free dos	1.63
14-ck1004TU (5QH64PA)	14390.0	hp	14	hd	intel	5	8	4	1000	hdd	uhd 620	win10	1.5
ProBook 445 G6-6XQ03PA	17399.0	hp	14	fhd	amd	5	2	8	256	ssd	radeon vega 8	free dos	1.5
Pavilion 15-cs2001TU (6KX30PA)	13290.0	hp	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.8
348 G5 (7CS02PA)	9990.0	hp	14	hd	intel	3	7	4	500	hdd	hd 620	free dos	1.5
Pavilion 15-cs0016TU (4MF08PA)	12990.0	hp	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.8
Pavilion Gaming 15-cx0177TX (5EF40PA)	25790.0	hp	15	fhd	intel	5	8	8	1000	hdd	gtx 1050	win10	2.2
ENVY 13-ah1012TU (5HZ19PA)	27490.0	hp	13	fhd	intel	7	8	8	256	ssd	uhd 620	win10	1.3
ENVY X360 13-ag0046AU (6CH40PA)	26890.0	hp	13	fhd	amd	7	2	8	256	ssd	radeon vega 10	win10	1.3
ENVY X360 13-ag0045AU (6CH38PA)	22890.0	hp	13	fhd	amd	5	2	8	256	ssd	radeon vega 8	win10	1.3
Pavilion X360 14-ba065TU (2GV27PA)	15490.0	hp	14	fhd	intel	5	7	4	500	hdd	hd 620	win10	1.6
Pavilion X360 14-ba120TU (3CH49PA)	16690.0	hp	14	fhd	intel	5	8	4	500	hdd	uhd 620	win10	1.8
ENVY 13-ah1011TU (5HZ28PA)	22490.0	hp	13	fhd	intel	5	8	8	256	ssd	uhd 620	win10	1.3
ENVY 13-aq0032TX (6ZF26PA)	28790.0	hp	13	fhd	intel	7	8	8	256	ssd	mx250	win10	1.3
Pavilion 15-cs2059TX (6YZ07PA)	21490.0	hp	15	fhd	intel	7	8	8	256	ssd	mx250	win10	1.7
ZBook 15 G6 (6CJ09AV)	53990.0	hp	15	fhd	intel	7	9	16	256	ssd	quadro t2000	free dos	2.6
14-bs712TU (3PH02PA)	6990.0	hp	14	hd	intel	1	3	4	500	hdd	hd 405	win10	1.6
Pavilion 15-cb540TX (4BN72PA)	22190.0	hp	15	fhd	intel	5	7	8	1000	hdd	gtx 1050	win10	2.3
15-da0033TX (4ME73PA)	14990.0	hp	15	hd	intel	5	8	4	1000	hdd	mx110	win10	1.8
Pavilion 14-ce1008TU (5JN06PA)	15390.0	hp	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.6
Pavilion 14-ce1013TU (5JN20PA)	15390.0	hp	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.6
240 G7 (6MM00PA)	13590.0	hp	14	hd	intel	5	8	4	1000	hdd	uhd 620	free dos	1.6
250 G7-6NY71PA	13990.0	hp	15	fhd	intel	5	8	4	1000	hdd	uhd 620	free dos	1.8
Pavilion x360 14-cd1020TU (5HV72PA)	16990.0	hp	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.63
348 G5 (7CS43PA)	18590.0	hp	14	fhd	intel	7	8	8	1000	hdd	uhd 620	free dos	1.5
ProBook 450 G5 (2ZD43PA)	17500.0	hp	15	hd	intel	5	8	8	1000	hdd	uhd 620	free dos	2.1
Pavilion 14-bf036TU (3MT77PA)	12990.0	hp	14	fhd	intel	3	7	4	1000	hdd	hd 620	win10	1.5
Pavilion 14-bf035TU (3MS07PA)	12990.0	hp	14	fhd	intel	3	7	4	1000	hdd	hd 620	win10	1.5
Pavilion 14-ce0023TU (4MF06PA)	14990.0	hp	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.6
Pavilion X360 14-ba080TU (3MR79PA)	13290.0	hp	14	hd	intel	3	7	4	1000	hdd	hd 620	win10	1.7
Pavilion 15-cb541TX (4NB73PA)	23190.0	hp	15	fhd	intel	5	7	8	1000	hdd	gtx 1050	win10	2.3
15-da0047TU (4ME62PA)	7390.0	hp	15	hd	intel	1	5	4	500	hdd	uhd 605	win10	1.8
Pavilion X360 14-cd0082TU (4MF15PA)	13490.0	hp	14	hd	intel	3	8	4	1000	hdd	uhd 620	win10	1.7
14-cK0068TU (4ME90PA)	10390.0	hp	14	hd	intel	3	7	4	500	hdd	hd 620	win10	1.6
Pavilion 15-cx0178TX (5EF41PA)	28690.0	hp	15	fhd	intel	7	8	8	1000	hdd	gtx 1050	win10	2.2
240 G6 (4AN57PA)	12990.0	hp	14	hd	intel	5	8	4	1000	hdd	uhd 620	free dos	1.9
Pavilion 14-ce0019TU (4ME99PA)	12990.0	hp	14	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.6
Pavilion 15-cs1008TU (5JL24PA)	15390.0	hp	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.9
Pavilion 15-cs1009TU (5JL43PA)	15390.0	hp	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.9
Pavilion x360 14-cd0084TU (4MF18PA)	16980.0	hp	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.7
Notebook 15-da1030TX (5NM13PA)	18390.0	hp	15	hd	intel	7	8	8	1000	hdd	mx130	win10	1.8
ProBook 440 G6 (5YM62PA)	22290.0	hp	14	fhd	intel	7	8	8	1000	hdd	uhd 620	free dos	1.6
EliteBook 745 G6-5ZU69PA	27790.0	hp	14	fhd	amd	5	2	8	256	ssd	radeon vega 8	win10	1.6
EliteBook 745 G5-5ZU71PA	34790.0	hp	14	fhd	amd	7	2	8	512	ssd	radeon vega 10	win10	1.6
Pavilion 15-cs2058TX (6YZ12PA)	20690.0	hp	15	fhd	intel	7	8	8	1000	hdd	mx250	win10	1.9
ProBook 450 G6 (5YM71PA)	13190.0	hp	15	hd	intel	3	8	4	500	hdd	uhd 620	free dos	1.9
ProBook 450 G6 (6FG97PA)	18590.0	hp	15	fhd	intel	5	8	4	500	hdd	mx130	free dos	2.0
ProBook 455 G6-6XA87PA	16999.0	hp	15	fhd	amd	5	2	8	1000	hdd	radeon vega 8	free dos	2.0
