name	salary
Melvin Frazier	1416.852
Jevon Carter	1416.852
Chimezie Metu	1416.852
Bruno Fernando	1400.0
Jaylen Nowell	1400.0
Amile Jefferson	1339.515
Kevin Porter	1290.96
Carsen Edwards	1228.026
Cody Martin	1173.31
Guerschon Yabusele	1039.08
Terance Mann	1000.0
Admiral Schofield	1000.0
Justin Hamilton	1000.0
Jonathon Simmons	1000.0
Kyle Singler	999.2
Vlatko Cancar	898.31
Javonte Green	898.31
Nicolas Claxton	898.31
Daniel Gafford	898.31
Eric Paschall	898.31
Alen Smailagic	898.31
Talen Horton-Tucker	898.31
KZ Okpala	898.31
Naz Reid	898.31
Ignas Brazdeikis	898.31
Jalen Lecque	898.31
Justin James	898.31
Dewan Hernandez	898.31
Matt Thomas	898.31
Justin Robinson	898.31
Caleb Martin	898.31
Jalen McDaniels	898.31
DaQuan Jeffries	898.31
Terence Davis	898.31
Miye Oni	898.31
Juwan Morgan	796.806
Raymond Spalding	708.426
Cole Aldrich	685.34
Shaun Livingston	666.666
Dakari Johnson	459.414
CJ Watson	333.333
Festus Ezeli	333.333
Deyonta Davis	250.0
Stanton Kidd	250.0
Joe Johnson	220.0
Cameron Payne	150.0
Troy Williams	122.741
Jaylen Adams	100.0
Yante Maten	100.0
Demetrius Jackson	92.857
Charlie Brown	79.568
Brandon Goodwin	79.568
Tacko Fall	79.568
Tremont Waters	79.568
Henry Ellenson	79.568
Timothe Luwawu	79.568
Robert Franks	79.568
Kobi Simmons	79.568
Adam Mokoka	79.568
Max Strus	79.568
Tyler Cook	79.568
Dean Wade	79.568
Antonius Cleveland	79.568
Josh Reaves	79.568
Bol Bol	79.568
PJ Dozier	79.568
Jordan Bone	79.568
Louis King	79.568
Ky Bowman	79.568
Damion Lee	79.568
Chris Clemons	79.568
Michael Frazier	79.568
Brian Bowen	79.568
Naz Long	79.568
Amir Coffey	79.568
Johnathan Motley	79.568
Kostas Antetokounmpo	79.568
Zach Norvell	79.568
John Konchar	79.568
Yuta Watanabe	79.568
Daryl Macon	79.568
Chris Silva	79.568
Frank Mason	79.568
Cam Reynolds	79.568
Jordan McLaughlin	79.568
Kelan Martin	79.568
Zylan Cheatham	79.568
Josh Gray	79.568
Kadeem Allen	79.568
Ivan Rabb	79.568
Luguentz Dort	79.568
Devon Hall	79.568
BJ Johnson	79.568
Josh Magette	79.568
Norvel Pelle	79.568
Marial Shayok	79.568
Jared Harper	79.568
Moses Brown	79.568
Jaylen Hoard	79.568
Wenyen Gabriel	79.568
Kyle Guy	79.568
Drew Eubanks	79.568
Quinndary Weatherspoon	79.568
Oshae Brissett	79.568
Shamorie Ponds	79.568
Jarrell Brantley	79.568
Justin Wright-Foreman	79.568
Chris Chiozza	79.568
Garrison Mathews	79.568
Joe Chealey	50.0
Tyler Lydon	50.0
